"SP_1","SP_2","SP_3","SP_4","SP_5","SP_6","SP_7","SP_8","fitness"
0,0,1,0,1,1,1,0,0.23215
0,0,1,0,1,1,1,1,0.149733333333333
0,0,1,0,1,1,1,1,0.2222
0,0,1,0,1,1,1,1,0.236783333333333
0,0,1,0,1,1,0,1,0.0721
0,0,1,0,1,1,0,1,0.1273
0,0,1,0,1,1,0,1,0.12025
0,0,1,0,1,0,1,0,0.13238
0,0,1,0,1,0,1,0,0.20004
0,0,1,0,1,0,1,0,0.20507
0,0,1,0,1,0,1,1,0.1967
0,0,1,0,1,0,1,1,0.24862
0,0,1,0,1,0,1,1,0.25543
0,0,1,0,1,0,0,1,0.07335
0,0,1,0,1,0,0,1,0.12095
0,0,1,0,1,0,0,1,0.13205
0,0,1,0,0,1,0,0,0.00933333333333333
0,0,1,0,0,1,0,0,0.0039
0,0,1,0,0,1,0,0,0.0609833333333333
0,0,1,0,0,1,1,0,0.23785
0,0,1,0,0,1,1,0,0.266133333333333
0,0,1,0,0,1,1,0,0.2883
0,0,1,0,0,1,0,1,0.06735
0,0,1,0,0,1,0,1,0.1103
0,0,1,0,0,1,0,1,0.1519
0,0,1,0,0,0,1,0,0.232033333333333
0,0,1,0,0,0,1,0,0.269066666666667
0,0,1,0,0,0,1,0,0.302133333333333
0,0,1,0,0,0,1,1,0.2013
0,0,1,0,0,0,1,1,0.262325
0,0,1,0,0,0,1,1,0.2778
0,0,1,0,0,0,0,1,0.08375
0,0,1,0,0,0,0,1,0.1062
0,0,1,0,0,0,0,1,0.09925
0,0,0,1,0,0,0,0,0.182040625
0,0,0,1,0,0,0,0,0.29195
0,0,0,1,0,0,0,0,0.2718125
0,0,0,1,1,0,0,0,0.1996
0,0,0,1,1,0,0,0,0.274
0,0,0,1,1,0,0,0,0.25495
0,0,0,1,1,1,0,0,0.16425
0,0,0,1,1,1,0,0,0.14625
0,0,0,1,1,1,1,0,0.1242
0,0,0,1,1,1,1,0,0.2679
0,0,0,1,1,1,1,0,0.2761
0,0,0,1,1,1,1,1,0.2241
0,0,0,1,1,1,1,1,0.20935
0,0,0,1,1,1,0,1,0.1736
0,0,0,1,1,1,0,1,0.14385
0,0,0,1,1,0,1,0,0.2365
0,0,0,1,1,0,1,0,0.3354
0,0,0,1,1,0,1,0,0.36095
0,0,0,1,1,0,1,1,0.23775
0,0,0,1,1,0,1,1,0.36555
0,0,0,1,1,0,1,1,0.36615
0,0,0,1,1,0,0,1,0.184
0,0,0,1,1,0,0,1,0.2855
0,0,0,1,1,0,0,1,0.2322
